top	op	et	b	m	width	LUT	FF	CARRY4	DSP	secs	rc
tnf_cost_e2m1_add_top	add	2	4	1	6	448	21	0	0	3.1	0
tnf_cost_e2m1_mul_top	mul	2	4	1	6	232	21	0	0	3.5	0
tnf_cost_e2m4_add_top	add	2	4	4	9	832	30	0	0	3.3	0
tnf_cost_e2m4_mul_top	mul	2	4	4	9	704	30	0	4	4.2	0
tnf_cost_e2m8_add_top	add	2	4	8	13	1576	42	0	0	4.1	0
tnf_cost_e2m8_mul_top	mul	2	4	8	13	1176	42	0	4	5.2	0
tnf_cost_e2m9_add_top	add	2	4	9	14	1484	45	0	0	4.0	0
tnf_cost_e2m9_mul_top	mul	2	4	9	14	1308	45	0	4	5.7	0
tnf_cost_e2m11_add_top	add	2	4	11	16	1868	51	0	0	4.5	0
tnf_cost_e2m11_mul_top	mul	2	4	11	16	1552	51	0	4	6.2	0
tnf_cost_e2m13_add_top	add	2	4	13	18	2136	57	0	0	4.6	0
tnf_cost_e2m13_mul_top	mul	2	4	13	18	1696	57	0	4	6.4	0
tnf_cost_e2m17_add_top	add	2	4	17	22	2544	69	0	0	5.2	0
tnf_cost_e2m17_mul_top	mul	2	4	17	22	2240	69	0	8	7.7	0
tnf_cost_e2m21_add_top	add	2	4	21	26	3172	81	0	0	5.7	0
tnf_cost_e2m21_mul_top	mul	2	4	21	26	2616	81	0	8	9.1	0
tnf_cost_e2m25_add_top	add	2	4	25	30	3796	504	0	0	5.1	0
tnf_cost_e2m25_mul_top	mul	2	4	25	30	3452	93	0	16	11.1	0
tnf_cost_e2m29_add_top	add	2	4	29	34	4596	564	0	0	5.7	0
tnf_cost_e2m29_mul_top	mul	2	4	29	34	3944	105	0	16	13.4	0
tnf_cost_e2m33_add_top	add	2	4	33	38	4840	624	0	0	6.1	0
tnf_cost_e2m33_mul_top	mul	2	4	33	38	4804	117	0	16	16.5	0
tnf_cost_e3m1_add_top	add	3	5	1	7	476	24	0	0	3.1	0
tnf_cost_e3m1_mul_top	mul	3	5	1	7	296	24	0	0	3.6	0
tnf_cost_e3m4_add_top	add	3	5	4	10	940	33	0	0	3.4	0
tnf_cost_e3m4_mul_top	mul	3	5	4	10	720	33	0	4	4.2	0
tnf_cost_e3m8_add_top	add	3	5	8	14	1564	45	0	0	4.0	0
tnf_cost_e3m8_mul_top	mul	3	5	8	14	1356	45	0	4	5.4	0
tnf_cost_e3m9_add_top	add	3	5	9	15	1812	48	0	0	4.3	0
tnf_cost_e3m9_mul_top	mul	3	5	9	15	1332	48	0	4	5.5	0
tnf_cost_e3m11_add_top	add	3	5	11	17	2132	54	0	0	4.8	0
tnf_cost_e3m11_mul_top	mul	3	5	11	17	1808	54	0	4	6.3	0
tnf_cost_e3m13_add_top	add	3	5	13	19	2480	60	0	0	5.3	0
tnf_cost_e3m13_mul_top	mul	3	5	13	19	1936	60	0	4	6.5	0
tnf_cost_e3m17_add_top	add	3	5	17	23	3272	72	0	0	6.3	0
tnf_cost_e3m17_mul_top	mul	3	5	17	23	2524	72	0	8	8.0	0
tnf_cost_e3m21_add_top	add	3	5	21	27	3944	84	0	0	7.6	0
tnf_cost_e3m21_mul_top	mul	3	5	21	27	3132	84	0	8	9.4	0
tnf_cost_e3m25_add_top	add	3	5	25	31	4576	519	0	0	6.5	0
tnf_cost_e3m25_mul_top	mul	3	5	25	31	4212	96	0	16	11.9	0
tnf_cost_e3m29_add_top	add	3	5	29	35	5704	579	0	0	7.5	0
tnf_cost_e3m29_mul_top	mul	3	5	29	35	5044	108	0	16	14.3	0
tnf_cost_e3m33_add_top	add	3	5	33	39	6244	639	0	0	7.9	0
tnf_cost_e3m33_mul_top	mul	3	5	33	39	5632	120	0	16	17.1	0
