Complexity,Loss,Equation
1,0.14778784,"3.6921613"
3,0.09323511,"x0 * 1.1835167"
4,0.033986278,"square(x0) / x1"
5,0.033986267,"x0 * (x0 / x1)"
6,0.014555215,"square(x0 / (x1 * -0.6033439))"
7,0.006779729,"((x0 * 8.015771) / x1) + -5.534939"
8,0.006303033,"square((x0 * -1.0855782) - (x1 * -0.54260176))"
9,0.0001623301,"(((x0 + -1.0253977) * 9.624099) / x1) + -3.7505472"
11,0.0001462039,"((9.74484 / x1) * ((x0 + -1.0719758) - -0.021429066)) + -3.7535594"
12,3.986721e-5,"square(((x0 + x0) * (1.2302597 / x1)) - (2.4786487 / x1))"
14,4.464368e-6,"square((((x0 * 0.19947045) * (x0 + x0)) / x1) - (-1.3107761 / x1))"
