Complexity,Loss,Equation
1,0.14778784,"3.692195"
3,0.09323511,"x0 * 1.1835283"
4,0.033986278,"square(x0) / x1"
5,0.033986267,"x0 * (x0 / x1)"
6,0.008792903,"square(x1 + (-1.5087757 - x0))"
7,0.00041685,"((x0 * 1.2963393) - x1) * 2.7682388"
8,1.03455025e-13,"(square(x0 / x1) * 0.8888889) * x0"
10,9.094947e-14,"(square(x0 / x1) * 10.810445) * (x0 * 0.082225)"
11,7.9580785e-14,"(x0 * 0.88888884) * ((x0 * (x0 / x1)) / x1)"
13,6.48015e-14,"((((x0 * (x0 / x1)) * x0) * 0.5601799) / x1) * 1.5867919"
15,6.366463e-14,"(((-1.2576451 / x1) * ((x0 / x1) * x0)) * (x0 + x0)) * -0.35339415"
17,5.7980286e-14,"((x0 * -0.05719353) + x0) * (((-1.1336182 / x1) * ((x0 / x1) * x0)) * -0.8316835)"
19,5.684342e-14,"(((-1.1336182 / x1) * ((x0 / x1) * x0)) * -0.8316835) * (x0 + (square(sqrt(x0)) * -0.05719353))"
