Complexity,Loss,Equation
1,0.14778784,"3.692195"
3,0.09323511,"x0 * 1.183512"
4,0.033986278,"square(x0) / x1"
5,0.033986267,"x0 * (x0 / x1)"
6,0.008792903,"square(x1 + (-1.5087757 - x0))"
7,0.0011795261,"((6.3304014 - x1) * x0) + -7.598523"
8,9.777068e-14,"(square(x0 / x1) * x0) * 0.8888889"
10,8.526513e-14,"x0 * ((0.8888889 / x1) * (square(x0) / x1))"
12,6.8212105e-14,"x0 * ((square(x0) / x1) * ((14.526417 / x1) * 0.0611912))"
13,6.1390895e-14,"(x0 * (x0 * (x0 / x1))) * ((0.81387115 / x1) * 1.0921739)"
