Complexity,Loss,Equation
1,0.14778784,"3.692195"
3,0.09323511,"x0 / 0.84494287"
4,0.033986278,"square(x0) / x1"
5,0.018861288,"exp(square(x0 / x1))"
6,0.008213722,"square(x0 + (x1 * -0.44393212))"
7,0.00041684826,"(x0 * 3.588522) + (x1 * -2.7681694)"
8,1.0231815e-13,"(x0 * 0.8888889) * square(x0 / x1)"
10,9.6633815e-14,"(square(x0 / x1) * 1.5434937) * (x0 * 0.57589406)"
11,8.526513e-14,"((0.8888889 / x1) * ((x0 * x0) / x1)) * x0"
13,5.7980286e-14,"((x0 * ((x0 * (x0 / x1)) * -0.8455134)) / x1) * -1.0513008"
15,5.684342e-14,"(x0 * (x0 * ((x0 / x2) / x1))) * ((2.665985 / x1) * 2.6673484)"
19,5.570655e-14,"x0 / (((((x0 / 1.0000008) / x0) * (x1 / x0)) * (x1 / (x0 + -1.4802026e-6))) / 0.88888854)"
23,5.3432814e-14,"x0 / ((((x0 * (x1 * (((x0 / 1.0000008) / x0) / x0))) / x0) * (x1 / (x0 + -1.4802026e-6))) / 0.88888854)"
