Complexity,Loss,Equation
1,0.10221498,"2.684039"
3,0.05493064,"x1 + -0.44056737"
4,0.007077862,"square(x1 + -1.4885746)"
5,0.0067649162,"square(square(x1) * 0.16737679)"
6,0.00014267693,"(square(x1) * 0.5527368) - x2"
7,5.9117153e-14,"(square(square(x1)) * 0.076064266) / x2"
9,5.7980286e-14,"(0.2389325 / x2) * (square(square(x1)) * 0.31835043)"
13,5.2295946e-14,"((((0.21422686 * square(square(x1))) * x0) / x0) / x2) * 0.3550641"
17,4.888534e-14,"((((0.21422686 * square(square(x1))) * x0) / x0) / ((x2 * x0) / x0)) * 0.3550641"
21,4.774847e-14,"((((x0 * (x0 * (0.21422686 * square(square(x1))))) / x0) / x0) / ((x0 * x2) / x0)) * 0.3550641"
