Complexity,Loss,Equation
1,2172.8494,"391.33395"
3,1287.703,"x1 * 125.5515"
4,231.87982,"exp(x1 + 2.8430412)"
5,143.8059,"square(square(x1 * 1.4216388))"
6,97.52919,"(46.60925 / x2) * exp(x1)"
7,1.4901161e-9,"(square(square(x1)) / x2) * 11.09017"
9,1.3411046e-9,"((square(square(x1)) / x2) * 17.944273) / x0"
13,1.2665987e-9,"((square(square(x1)) / x2) - square(square(log(log(x2))))) * 11.09017"
14,1.2107193e-9,"(square(square(x1)) / (x2 + square(log(log(x2)) / 109.06948))) * 11.09017"
16,1.1920929e-9,"(square(log(log(x2)) / 11.652565) + ((square(square(x1)) / x2) * -4.8890514)) * -2.2683685"
19,1.1734664e-9,"-2.2683685 * (((square(square(x1)) / x2) * -4.8890514) + square(log(log(x2)) / (1.5090759 - exp(x2))))"
21,1.15484e-9,"((square(square(x1)) / x2) + (square(log(log(x2))) * (sqrt(log(square(x0))) * (x1 * -0.0003121218)))) * 11.09017"
22,1.1362136e-9,"(square(square(x1)) / (x2 + square((log(log(x2)) / (x0 - square(x1))) / (exp(x2) - 1.5090759)))) * 11.09017"
