Complexity,Loss,Equation
1,0.00084756204,"0.31411594"
3,0.0004355909,"0.9823241 / x1"
4,9.271702e-5,"7.117097 / exp(x1)"
6,1.4171377e-6,"(19.309725 / exp(x1)) / x2"
7,4.7592653e-7,"((7.917879 / x1) + -1.683674) / x2"
8,8.857941e-8,"((18.517042 / exp(x1)) + 0.035271894) / x2"
9,7.6383345e-16,"((x1 / x2) * 25.877062) / square(square(x1))"
11,6.9277914e-16,"((19.703894 / square(square(x1))) * (x1 / x2)) * 1.3132969"
12,6.5725204e-16,"(sqrt(x3) * ((x1 / x2) * 9.148924)) / square(square(x1))"
14,6.217249e-16,"(((sqrt(x3) * (x1 / x2)) * 6.568093) / square(square(x1))) * 1.3929346"
15,5.506706e-16,"(((x0 * 5.3964334) / square(square(x1))) * 1.9788996) * ((x1 / x2) * 1.4976033)"
