Complexity,Loss,Equation
1,0.00084756204,"0.31411564"
3,0.0004355909,"0.9823241 / x1"
4,9.271701e-5,"7.117154 / exp(x1)"
5,4.4076383e-5,"(3.9770103 - x1) / x2"
6,1.4171388e-6,"(19.30973 / exp(x1)) / x2"
7,4.5964902e-7,"(0.8827952 / x2) / (x1 + -2.081379)"
8,2.9055684e-8,"(3.6768186 / x2) / square(x1 + -1.0420094)"
10,4.9675125e-11,"((14.198451 / (exp(x1) + -2.8378992)) - -0.1352185) / x2"
12,6.6993342e-12,"21.841602 * (((0.6535788 / (exp(x1) + -2.7838655)) - -0.0061041387) / x2)"
14,6.684235e-12,"square(sqrt((((0.6535788 / (exp(x1) + -2.7838655)) - -0.0061041387) / x2) * 21.841602))"
16,6.6635053e-12,"square(square(sqrt(sqrt((((0.6535788 / (exp(x1) + -2.7838655)) - -0.0061041387) * 21.841602) / x2))))"
18,6.6497385e-12,"((0.6535763 / (exp(x1 - exp(square(x1) * -1.5235373)) + -2.7838626)) - -0.006104247) * (21.841602 / x2)"
20,6.5184303e-12,"(((0.653564 / (exp(x1 - exp(square(x1) * (x0 - x1))) + -2.783863)) - -0.00610489) / x2) * 21.841602"
21,5.9787197e-12,"(((0.6535638 / (exp(x1 - exp(square(exp(x1 + -1.5421925)) / -1.5421925)) + -2.783863)) - -0.0061048823) * 21.841602) / x2"
23,5.0470027e-12,"((0.6535638 / (exp(x1 - exp((exp(square(x1 + -1.5421925)) * -1.5235373) - -1.2553444)) + -2.783863)) - -0.0061048246) * (21.841602 / x2)"
