Complexity,Loss,Equation
1,0.002668689,"0.5468865"
3,0.00130839,"1.4870617 / x2"
4,0.0002710517,"8.251762 / exp(x2)"
5,0.00025644674,"0.50521934 / (x2 + -1.7855053)"
6,2.4017196e-5,"(x1 * 2.6416445) / exp(x2)"
7,1.4304725e-6,"(x1 * 0.15897486) / (x2 + -1.8011079)"
8,1.8296475e-15,"((x1 / x2) * 3.490712) / square(x2)"
9,1.811884e-15,"((x1 / x2) * 3.490712) / (x2 * x2)"
10,1.7053025e-15,"((x1 / x2) * square(2.532301 / x2)) * 0.54435647"
11,1.687539e-15,"(((x1 / x2) * 1.0765435) / (x2 * x2)) * 3.2425184"
12,1.5099034e-15,"(((x1 / x2) * 0.4006929) * square(3.909748 / x2)) / 1.754669"
15,1.3677947e-15,"((1.7086761 / square(x2)) / square(square(sqrt(x0)))) * ((x1 / x2) * 5.3484693)"
