Complexity,Loss,Equation
1,0.14778784,"3.692195"
3,0.09323511,"x0 / 0.84494287"
4,0.033986278,"square(x0) / x1"
5,0.033986267,"x0 * (x0 / x1)"
6,0.008792906,"square(x1 + (-1.5087801 - x0))"
7,0.0012522376,"((x0 - x1) * x0) - -2.4102516"
9,0.0012522351,"(((x0 - x1) * x0) + 2.6668787) - 0.25662693"
10,0.00042582,"sqrt(x1 - -3.0922582) + ((x0 - x1) * x0)"
11,0.00024962967,"((x0 - (x1 - 0.632244)) * (0.8747847 * x0)) + 0.83896196"
12,0.00018753082,"sqrt(x1 - 1.1105813) + (((x0 - x1) * x0) - -1.1433406)"
13,0.00017525218,"(((x0 + -0.38178095) * (x0 - x1)) - (x0 * -0.41623273)) + 1.2653172"
15,0.00011357981,"square(x3 + (((((x0 - x1) + sqrt(x0)) - -0.48628473) * -0.72094125) - x3))"
19,0.00011346187,"square((((((sqrt(x0) + (x0 - x1)) - -0.48658213) * -0.7208961) + (x3 - x3)) - x3) + x3)"
21,8.509477e-5,"(x0 * ((x0 - x1) * 1.111908)) + sqrt((log(x0 - x1) - x0) * ((x2 - 2.6605473) * -0.23697966))"
22,8.507543e-5,"((x0 * (x0 - x1)) * 1.1121839) + sqrt((log(x0 - x1) - x0) * ((log(x2) - 1.1303484) * -1.3327252))"
25,8.398568e-5,"square(((x3 - x3) + x3) + ((((((sqrt(x0) + (x0 - x1)) - -0.09273852) * -0.7787178) + x3) - x3) - x3)) + 0.5612391"
